pi_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,l1_ko_highs
-0.5,b3519,,1,229,0.5183329169391334,0.5183329169392548,-1.213473765915296e-13,0,2538.925601021477,
-0.5,b1197,,1,229,0.5183329169391334,0.5183329169392548,-1.213473765915296e-13,0,2538.925601021477,
-0.5,b4240,,1,229,0.5183329169391334,0.5183329169392548,-1.213473765915296e-13,0,2538.925601021477,
-0.5,b1260,,3,491,0.5183329169391334,5.569125266150747e-17,0.5183329169391333,1,5282.528349282245,
-0.5,b1261,,3,491,0.5183329169391334,0.0,0.5183329169391334,1,5282.528349282253,
-0.5,b3384,,1,232,0.5183329169391334,0.5183329169392416,-1.0813572259849025e-13,0,3041.9669632115056,
-0.5,b3709,,1,232,0.5183329169391334,0.5183329169392091,-7.57172102794357e-14,0,3041.9669632113764,
-0.5,b0509,,1,232,0.5183329169391334,0.5183329169392091,-7.57172102794357e-14,0,3041.9669632113764,
-0.5,b3125,,1,232,0.5183329169391334,0.5183329169392091,-7.57172102794357e-14,0,3041.9669632113764,
-0.5,b3991,,1,485,0.5183329169391334,2.913984564865486e-16,0.5183329169391331,1,4439.658313592694,
-0.5,b1637,,1,232,0.5183329169391334,0.5183329169393177,-1.84297022087776e-13,0,3041.966963211793,
-0.5,b1907,,1,232,0.5183329169391334,0.5183329169392091,-7.57172102794357e-14,0,3041.9669632113764,
-0.5,b0179,,1,463,0.5183329169391334,-9.234776217171408e-32,0.5183329169391334,1,5443.550683708134,
-0.5,b0085,,1,463,0.5183329169391334,0.0,0.5183329169391334,1,5443.550683708134,
-0.5,b3787,,1,232,0.5183329169391334,0.5183329169392178,-8.437694987151192e-14,0,3041.966963211409,
-0.5,b3786,,1,232,0.5183329169391334,0.5183329169392169,-8.348877145181177e-14,0,3041.966963211404,
-0.5,b0181,,1,463,0.5183329169391334,0.0,0.5183329169391334,1,5443.550683708129,
-0.5,b3189,,1,463,0.5183329169391334,0.0,0.5183329169391334,1,5443.550683708122,
-0.5,b0090,,1,463,0.5183329169391334,0.0,0.5183329169391334,1,5443.5506837081375,
-0.5,b0088,,1,463,0.5183329169391334,0.0,0.5183329169391334,1,5443.550683708139,
-0.5,b0091,,1,463,0.5183329169391334,0.0,0.5183329169391334,1,5443.550683708125,
-0.5,b3972,,1,463,0.5183329169391334,0.0,0.5183329169391334,1,5443.550683708125,
-0.5,b0841,,2,463,0.5183329169391334,0.0,0.5183329169391334,1,5443.5506837081375,
